             (19.647199836355032,-0.14999999999999999)   (4.02076197956599921E-007,1.62486859943838658E-006)   (4.98153267242577080E-009,1.48315880603824467E-009)  (2.22875677040564636E-013,-2.32717944985086650E-014)   (1.33703559598347189E-016,9.39833238510379149E-017)  (7.67076361132096236E-008,-3.74268762677190286E-009)  (-1.02859288554885429E-004,4.33167601908627901E-005) (-7.14765598726057723E-008,-1.48684266321485262E-009)  (2.46392851095243184E-011,-1.44410988506104610E-011)   (8.19948058555545093E-016,2.59593965102983562E-015)
  (4.02076197956599710E-007,-1.62486859943838615E-006)             (9.8235998363550276,-0.14999999999999999)   (4.02076197956599921E-007,1.62486859943838658E-006)   (4.98153267242577080E-009,1.48315880603824467E-009)  (2.22875677040564636E-013,-2.32717944985086650E-014)  (5.21534012817318561E-005,-9.38970934245120763E-005)  (7.67076361132096236E-008,-3.74268762677190286E-009)  (-1.02859288554885429E-004,4.33167601908627901E-005) (-7.14765598726057723E-008,-1.48684266321485262E-009)  (2.46392851095243184E-011,-1.44410988506104610E-011)
  (4.98153267242548377E-009,-1.48315880603815471E-009)  (4.02076197956599710E-007,-1.62486859943838615E-006)  (-1.63644971221929416E-007,5.26121439880243014E-023)   (4.02076197956599921E-007,1.62486859943838658E-006)   (4.98153267242577080E-009,1.48315880603824467E-009)   (4.19776204290516096E-010,2.79235934742776914E-010)  (5.21534012817318561E-005,-9.38970934245120763E-005)  (7.67076361132096236E-008,-3.74268762677190286E-009)  (-1.02859288554885429E-004,4.33167601908627901E-005) (-7.14765598726057723E-008,-1.48684266321485262E-009)
   (2.22875676545372589E-013,2.32717944985086650E-014)  (4.98153267242548377E-009,-1.48315880603815471E-009)  (4.02076197956599710E-007,-1.62486859943838615E-006)            (-9.8236001636449721,-0.14999999999999999)   (4.02076197956599921E-007,1.62486859943838658E-006)  (1.00357673215161733E-013,-1.08945740625346810E-014)   (4.19776204290516096E-010,2.79235934742776914E-010)  (5.21534012817318561E-005,-9.38970934245120763E-005)  (7.67076361132096236E-008,-3.74268762677190286E-009)  (-1.02859288554885429E-004,4.33167601908627901E-005)
  (1.33703604615804771E-016,-9.39835714470545931E-017)   (2.22875676545372589E-013,2.32717944985086650E-014)  (4.98153267242548377E-009,-1.48315880603815471E-009)  (4.02076197956599710E-007,-1.62486859943838615E-006)            (-19.647200163644971,-0.14999999999999999)  (7.61744672961132975E-018,-3.57229096073484712E-018)  (1.00357673215161733E-013,-1.08945740625346810E-014)   (4.19776204290516096E-010,2.79235934742776914E-010)  (5.21534012817318561E-005,-9.38970934245120763E-005)  (7.67076361132096236E-008,-3.74268762677190286E-009)
   (7.67076361132081810E-008,3.74268762676830214E-009)   (5.21534012817318561E-005,9.38970934245120763E-005)  (4.19776204287634974E-010,-2.79235934739175473E-010)   (1.00357680057815290E-013,1.08945776639312876E-014)   (7.62356910384199928E-018,3.58165459191116537E-018)             (27.348942243885141,-0.14999999999999999) (-3.57721006509734210E-006,-4.66152304605565528E-006) (-5.47593723223378623E-009,-3.26432513313712182E-009)  (-2.06065719188565569E-013,1.47263544868278386E-013) (-1.64501819780262798E-016,-7.21850074944487805E-017)
 (-1.02859288554885429E-004,-4.33167601908627901E-005)   (7.67076361132081810E-008,3.74268762676830214E-009)   (5.21534012817318561E-005,9.38970934245120763E-005)  (4.19776204287634974E-010,-2.79235934739175473E-010)   (1.00357680057815290E-013,1.08945776639312876E-014)  (-3.57721006509734210E-006,4.66152304605565443E-006)             (17.525342243885145,-0.14999999999999999) (-3.57721006509734210E-006,-4.66152304605565528E-006) (-5.47593723223378623E-009,-3.26432513313712182E-009)  (-2.06065719188565569E-013,1.47263544868278386E-013)
  (-7.14765598726014578E-008,1.48684266320981074E-009) (-1.02859288554885429E-004,-4.33167601908627901E-005)   (7.67076361132081810E-008,3.74268762676830214E-009)   (5.21534012817318561E-005,9.38970934245120763E-005)  (4.19776204287634974E-010,-2.79235934739175473E-010)  (-5.47593723223239078E-009,3.26432513313676200E-009)  (-3.57721006509734210E-006,4.66152304605565443E-006)        (7.7017422438851453,-2.64164098817920364E-022) (-3.57721006509734210E-006,-4.66152304605565528E-006) (-5.47593723223378623E-009,-3.26432513313712182E-009)
   (2.46392851088040380E-011,1.44410988590737416E-011)  (-7.14765598726014578E-008,1.48684266320981074E-009) (-1.02859288554885429E-004,-4.33167601908627901E-005)   (7.67076361132081810E-008,3.74268762676830214E-009)   (5.21534012817318561E-005,9.38970934245120763E-005) (-2.06065717928076762E-013,-1.47263544688208553E-013)  (-5.47593723223239078E-009,3.26432513313676200E-009)  (-3.57721006509734210E-006,4.66152304605565443E-006)            (-2.1218577561148551,-0.14999999999999999) (-3.57721006509734210E-006,-4.66152304605565528E-006)
  (8.19957422186721430E-016,-2.59593352865560482E-015)   (2.46392851088040380E-011,1.44410988590737416E-011)  (-7.14765598726014578E-008,1.48684266320981074E-009) (-1.02859288554885429E-004,-4.33167601908627901E-005)   (7.67076361132081810E-008,3.74268762676830214E-009)  (-1.64501819780262798E-016,7.21865380880064568E-017) (-2.06065717928076762E-013,-1.47263544688208553E-013)  (-5.47593723223239078E-009,3.26432513313676200E-009)  (-3.57721006509734210E-006,4.66152304605565443E-006)            (-11.945457756114855,-0.14999999999999999)
