             (19.647198163622576,-0.14999999999999999)  (-9.56174998785825161E-004,1.36622901714830757E-003) (-3.97895060691008641E-008,-5.06230677410114323E-009)   (1.17475890997843554E-011,2.25776493726363496E-011)  (1.87158461488269904E-015,-1.63700061422649749E-015)   (3.13917045118960664E-007,6.80003608046040303E-008)   (1.31894588419792486E-004,1.16152528033495396E-004)  (-3.13062079805771904E-007,7.39234992369065026E-008)  (2.46138995243729915E-011,-1.85789991938399970E-010)   (1.13267970264721669E-013,5.32787109775879881E-014)
 (-9.56174998785825378E-004,-1.36622901714830757E-003)             (9.8235981636225791,-0.14999999999999999)  (-9.56174998785825161E-004,1.36622901714830757E-003) (-3.97895060691008641E-008,-5.06230677410114323E-009)   (1.17475890997843554E-011,2.25776493726363496E-011)  (-1.48774964170467189E-004,4.37370070417994402E-005)   (3.13917045118960664E-007,6.80003608046040303E-008)   (1.31894588419792486E-004,1.16152528033495396E-004)  (-3.13062079805771904E-007,7.39234992369065026E-008)  (2.46138995243729915E-011,-1.85789991938399970E-010)
  (-3.97895060692146709E-008,5.06230677410114323E-009) (-9.56174998785825378E-004,-1.36622901714830757E-003)  (-1.83637742212601452E-006,5.33780414798813412E-021)  (-9.56174998785825161E-004,1.36622901714830757E-003) (-3.97895060691008641E-008,-5.06230677410114323E-009)   (3.67867605995691938E-009,3.14656750115375922E-009)  (-1.48774964170467189E-004,4.37370070417994402E-005)   (3.13917045118960664E-007,6.80003608046040303E-008)   (1.31894588419792486E-004,1.16152528033495396E-004)  (-3.13062079805771904E-007,7.39234992369065026E-008)
  (1.17475885783021272E-011,-2.25776492516294226E-011)  (-3.97895060692146709E-008,5.06230677410114323E-009) (-9.56174998785825378E-004,-1.36622901714830757E-003)            (-9.8236018363774225,-0.14999999999999999)  (-9.56174998785825161E-004,1.36622901714830757E-003) (-1.83800848930033043E-012,-3.10634639224235027E-013)   (3.67867605995691938E-009,3.14656750115375922E-009)  (-1.48774964170467189E-004,4.37370070417994402E-005)   (3.13917045118960664E-007,6.80003608046040303E-008)   (1.31894588419792486E-004,1.16152528033495396E-004)
   (1.87169985957409996E-015,1.63719220852595136E-015)  (1.17475885783021272E-011,-2.25776492516294226E-011)  (-3.97895060692146709E-008,5.06230677410114323E-009) (-9.56174998785825378E-004,-1.36622901714830757E-003)            (-19.647201836377423,-0.14999999999999999)  (1.57943675310694606E-016,-1.11306773350563281E-016) (-1.83800848930033043E-012,-3.10634639224235027E-013)   (3.67867605995691938E-009,3.14656750115375922E-009)  (-1.48774964170467189E-004,4.37370070417994402E-005)   (3.13917045118960664E-007,6.80003608046040303E-008)
  (3.13917045118960664E-007,-6.80003608046069156E-008) (-1.48774964170467189E-004,-4.37370070417993724E-005)  (3.67867605994287386E-009,-3.14656750114511560E-009)  (-1.83800851739122409E-012,3.10634667315128585E-013)   (1.57926388606984467E-016,1.11301731395314502E-016)             (27.348942364789625,-0.14999999999999999)  (-1.61424368026097018E-003,2.31820230623476379E-003) (-5.46841132516792055E-008,-6.18700706854448275E-009)   (9.32882082710411514E-012,3.22568517452065276E-011)  (1.74032998246682507E-015,-5.11608764336634588E-015)
  (1.31894588419792540E-004,-1.16152528033495396E-004)  (3.13917045118960664E-007,-6.80003608046069156E-008) (-1.48774964170467189E-004,-4.37370070417993724E-005)  (3.67867605994287386E-009,-3.14656750114511560E-009)  (-1.83800851739122409E-012,3.10634667315128585E-013) (-1.61424368026097040E-003,-2.31820230623476379E-003)             (17.525342364789626,-0.14999999999999999)  (-1.61424368026097018E-003,2.31820230623476379E-003) (-5.46841132516792055E-008,-6.18700706854448275E-009)   (9.32882082710411514E-012,3.22568517452065276E-011)
 (-3.13062079805774075E-007,-7.39234992369101157E-008)  (1.31894588419792540E-004,-1.16152528033495396E-004)  (3.13917045118960664E-007,-6.80003608046069156E-008) (-1.48774964170467189E-004,-4.37370070417993724E-005)  (3.67867605994287386E-009,-3.14656750114511560E-009)  (-5.46841132517627573E-008,6.18700706863667865E-009) (-1.61424368026097040E-003,-2.31820230623476379E-003)         (7.7017423647896264,9.59061343835824288E-021)  (-1.61424368026097018E-003,2.31820230623476379E-003) (-5.46841132516792055E-008,-6.18700706854448275E-009)
   (2.46138995191509680E-011,1.85789991902386000E-010) (-3.13062079805774075E-007,-7.39234992369101157E-008)  (1.31894588419792540E-004,-1.16152528033495396E-004)  (3.13917045118960664E-007,-6.80003608046069156E-008) (-1.48774964170467189E-004,-4.37370070417993724E-005)  (9.32881978990189269E-012,-3.22568513706612852E-011)  (-5.46841132517627573E-008,6.18700706863667865E-009) (-1.61424368026097040E-003,-2.31820230623476379E-003)            (-2.1218576352103753,-0.14999999999999999)  (-1.61424368026097018E-003,2.31820230623476379E-003)
  (1.13267948656342039E-013,-5.32786980125602076E-014)   (2.46138995191509680E-011,1.85789991902386000E-010) (-3.13062079805774075E-007,-7.39234992369101157E-008)  (1.31894588419792540E-004,-1.16152528033495396E-004)  (3.13917045118960664E-007,-6.80003608046069156E-008)   (1.74051437397306635E-015,5.11642761520597851E-015)  (9.32881978990189269E-012,-3.22568513706612852E-011)  (-5.46841132517627573E-008,6.18700706863667865E-009) (-1.61424368026097040E-003,-2.31820230623476379E-003)            (-11.945457635210374,-0.14999999999999999)
