             (16.680574489662472,-0.14999999999999999)            (-0.41311347143103050,0.61824170364366460)  (-1.07400268994771063E-003,2.88038446139848650E-002) (-1.68948536723239327E-003,-1.56401614891235052E-002)   (5.52524478107578793E-004,1.93883160538656479E-004)   (6.16492575552880645E-002,7.42741958753116299E-002)      (-0.19186488020153775,-1.10787333767860454E-002)  (-2.73569621222910161E-003,1.08664597287110574E-003)  (1.34564760161322945E-003,-1.21939393982722541E-003)   (1.71273890796390046E-005,1.14709767480139204E-004)
           (-0.41311347143103061,-0.61824170364366471)             (6.8569744896624698,-0.14999999999999999)            (-0.41311347143103050,0.61824170364366460)  (-1.07400268994771063E-003,2.88038446139848650E-002) (-1.68948536723239327E-003,-1.56401614891235052E-002)       (6.81721329618846794E-002,-0.17952406836926582)   (6.16492575552880645E-002,7.42741958753116299E-002)      (-0.19186488020153775,-1.10787333767860454E-002)  (-2.73569621222910161E-003,1.08664597287110574E-003)  (1.34564760161322945E-003,-1.21939393982722541E-003)
 (-1.07400268994779519E-003,-2.88038446139848060E-002)           (-0.41311347143103061,-0.61824170364366471)       (-2.9666255103375310,-6.87692819624748674E-018)            (-0.41311347143103050,0.61824170364366460)  (-1.07400268994771063E-003,2.88038446139848650E-002)  (2.53306204143710590E-003,-1.41553447999939459E-003)       (6.81721329618846794E-002,-0.17952406836926582)   (6.16492575552880645E-002,7.42741958753116299E-002)      (-0.19186488020153775,-1.10787333767860454E-002)  (-2.73569621222910161E-003,1.08664597287110574E-003)
  (-1.68948536723265391E-003,1.56401614891236579E-002) (-1.07400268994779519E-003,-2.88038446139848060E-002)           (-0.41311347143103061,-0.61824170364366471)            (-12.790225510337532,-0.14999999999999999)            (-0.41311347143103050,0.61824170364366460)  (-1.86550031595933397E-003,4.40134494279375199E-004)  (2.53306204143710590E-003,-1.41553447999939459E-003)       (6.81721329618846794E-002,-0.17952406836926582)   (6.16492575552880645E-002,7.42741958753116299E-002)      (-0.19186488020153775,-1.10787333767860454E-002)
  (5.52524478107614247E-004,-1.93883160538587144E-004)  (-1.68948536723265391E-003,1.56401614891236579E-002) (-1.07400268994779519E-003,-2.88038446139848060E-002)           (-0.41311347143103061,-0.61824170364366471)            (-22.613825510337531,-0.14999999999999999)   (9.35476719466069484E-005,6.56008154600559213E-005)  (-1.86550031595933397E-003,4.40134494279375199E-004)  (2.53306204143710590E-003,-1.41553447999939459E-003)       (6.81721329618846794E-002,-0.17952406836926582)   (6.16492575552880645E-002,7.42741958753116299E-002)
  (6.16492575552880784E-002,-7.42741958753116299E-002)        (6.81721329618846655E-002,0.17952406836926577)   (2.53306204143713670E-003,1.41553447999938353E-003) (-1.86550031595927564E-003,-4.40134494279438625E-004)  (9.35476719466216936E-005,-6.56008154600190449E-005)             (29.878235680967379,-0.14999999999999999)            (-0.39406626966145603,0.57560528974192426)  (-9.71812974139362558E-004,2.34166495677022649E-002) (-1.61673983358156972E-003,-1.30443192282069884E-002)   (4.95549574804880961E-004,1.81146922143570084E-004)
       (-0.19186488020153783,1.10787333767860662E-002)  (6.16492575552880784E-002,-7.42741958753116299E-002)        (6.81721329618846655E-002,0.17952406836926577)   (2.53306204143713670E-003,1.41553447999938353E-003) (-1.86550031595927564E-003,-4.40134494279438625E-004)           (-0.39406626966145614,-0.57560528974192438)             (20.054635680967380,-0.14999999999999999)            (-0.39406626966145603,0.57560528974192426)  (-9.71812974139362558E-004,2.34166495677022649E-002) (-1.61673983358156972E-003,-1.30443192282069884E-002)
 (-2.73569621222909424E-003,-1.08664597287108948E-003)       (-0.19186488020153783,1.10787333767860662E-002)  (6.16492575552880784E-002,-7.42741958753116299E-002)        (6.81721329618846655E-002,0.17952406836926577)   (2.53306204143713670E-003,1.41553447999938353E-003) (-9.71812974139407227E-004,-2.34166495677022718E-002)           (-0.39406626966145614,-0.57560528974192438)         (10.231035680967377,1.20762650482728871E-018)            (-0.39406626966145603,0.57560528974192426)  (-9.71812974139362558E-004,2.34166495677022649E-002)
   (1.34564760161318803E-003,1.21939393982730803E-003) (-2.73569621222909424E-003,-1.08664597287108948E-003)       (-0.19186488020153783,1.10787333767860662E-002)  (6.16492575552880784E-002,-7.42741958753116299E-002)        (6.81721329618846655E-002,0.17952406836926577)  (-1.61673983358183535E-003,1.30443192282070613E-002) (-9.71812974139407227E-004,-2.34166495677022718E-002)           (-0.39406626966145614,-0.57560528974192438)            (0.40743568096737703,-0.14999999999999999)            (-0.39406626966145603,0.57560528974192426)
  (1.71273890796744072E-005,-1.14709767480134785E-004)   (1.34564760161318803E-003,1.21939393982730803E-003) (-2.73569621222909424E-003,-1.08664597287108948E-003)       (-0.19186488020153783,1.10787333767860662E-002)  (6.16492575552880784E-002,-7.42741958753116299E-002)  (4.95549574804975395E-004,-1.81146922143529535E-004)  (-1.61673983358183535E-003,1.30443192282070613E-002) (-9.71812974139407227E-004,-2.34166495677022718E-002)           (-0.39406626966145614,-0.57560528974192438)            (-9.4161643190326227,-0.14999999999999999)
