             (18.217080314158050,-0.15000000000000002)            (0.14230751509949804,-0.72997615882924771)   (1.70410261722365418E-002,1.76396550529258657E-002)   (1.37264743450143927E-002,6.27365906737106967E-003)  (2.05764672876081856E-004,-6.63142418344752423E-004)        (4.52464406279107778E-002,0.10927364465933440)        (0.20184917362418228,4.99076518732711593E-003)  (-2.12518187452976747E-003,2.00124788956558422E-003)  (-5.61182820823024372E-004,1.76651288115049895E-003)   (1.22776526995359167E-004,2.47795303243158450E-005)
             (0.14230751509949818,0.72997615882924771)             (8.3934803141580492,-0.15000000000000002)            (0.14230751509949804,-0.72997615882924771)   (1.70410261722365418E-002,1.76396550529258657E-002)   (1.37264743450143927E-002,6.27365906737106967E-003)       (-0.18263414967251712,8.12167793207942273E-002)        (4.52464406279107778E-002,0.10927364465933440)        (0.20184917362418228,4.99076518732711593E-003)  (-2.12518187452976747E-003,2.00124788956558422E-003)  (-5.61182820823024372E-004,1.76651288115049895E-003)
  (1.70410261722365869E-002,-1.76396550529259732E-002)             (0.14230751509949818,0.72997615882924771)       (-1.4301196858419507,-3.38714450339489691E-017)            (0.14230751509949804,-0.72997615882924771)   (1.70410261722365418E-002,1.76396550529258657E-002)   (2.11611047515499438E-003,1.76781150368435442E-003)       (-0.18263414967251712,8.12167793207942273E-002)        (4.52464406279107778E-002,0.10927364465933440)        (0.20184917362418228,4.99076518732711593E-003)  (-2.12518187452976747E-003,2.00124788956558422E-003)
  (1.37264743450146928E-002,-6.27365906737106967E-003)  (1.70410261722365869E-002,-1.76396550529259732E-002)             (0.14230751509949818,0.72997615882924771)            (-11.253719685841952,-0.15000000000000002)            (0.14230751509949804,-0.72997615882924771)   (8.13205818307822766E-004,1.73523218680402577E-003)   (2.11611047515499438E-003,1.76781150368435442E-003)       (-0.18263414967251712,8.12167793207942273E-002)        (4.52464406279107778E-002,0.10927364465933440)        (0.20184917362418228,4.99076518732711593E-003)
   (2.05764672876022848E-004,6.63142418344758277E-004)  (1.37264743450146928E-002,-6.27365906737106967E-003)  (1.70410261722365869E-002,-1.76396550529259732E-002)             (0.14230751509949818,0.72997615882924771)            (-21.077319685841950,-0.15000000000000002)  (-1.12400390509944417E-004,7.68523509614549413E-005)   (8.13205818307822766E-004,1.73523218680402577E-003)   (2.11611047515499438E-003,1.76781150368435442E-003)       (-0.18263414967251712,8.12167793207942273E-002)        (4.52464406279107778E-002,0.10927364465933440)
       (4.52464406279107917E-002,-0.10927364465933440)      (-0.18263414967251715,-8.12167793207941857E-002)  (2.11611047515497357E-003,-1.76781150368432905E-003)  (8.13205818307787421E-004,-1.73523218680397633E-003) (-1.12400390509943672E-004,-7.68523509614608367E-005)             (28.231121654461024,-0.15000000000000002)            (0.18280856208974658,-0.88553201682396410)   (1.62452943196676435E-002,1.71076815139664905E-002)   (1.35567639095492878E-002,6.01992627056481631E-003)  (2.50342574460170211E-004,-7.11423162514730170E-004)
       (0.20184917362418225,-4.99076518732715323E-003)       (4.52464406279107917E-002,-0.10927364465933440)      (-0.18263414967251715,-8.12167793207941857E-002)  (2.11611047515497357E-003,-1.76781150368432905E-003)  (8.13205818307787421E-004,-1.73523218680397633E-003)             (0.18280856208974672,0.88553201682396410)             (18.407521654461021,-0.15000000000000002)            (0.18280856208974658,-0.88553201682396410)   (1.62452943196676435E-002,1.71076815139664905E-002)   (1.35567639095492878E-002,6.01992627056481631E-003)
 (-2.12518187452977311E-003,-2.00124788956559897E-003)       (0.20184917362418225,-4.99076518732715323E-003)       (4.52464406279107917E-002,-0.10927364465933440)      (-0.18263414967251715,-8.12167793207941857E-002)  (2.11611047515497357E-003,-1.76781150368432905E-003)  (1.62452943196676816E-002,-1.71076815139665390E-002)             (0.18280856208974672,0.88553201682396410)        (8.5839216544610224,-1.94297073445582675E-017)            (0.18280856208974658,-0.88553201682396410)   (1.62452943196676435E-002,1.71076815139664905E-002)
 (-5.61182820823055381E-004,-1.76651288115055793E-003) (-2.12518187452977311E-003,-2.00124788956559897E-003)       (0.20184917362418225,-4.99076518732715323E-003)       (4.52464406279107917E-002,-0.10927364465933440)      (-0.18263414967251715,-8.12167793207941857E-002)  (1.35567639095496139E-002,-6.01992627056486401E-003)  (1.62452943196676816E-002,-1.71076815139665390E-002)             (0.18280856208974672,0.88553201682396410)            (-1.2396783455389788,-0.15000000000000002)            (0.18280856208974658,-0.88553201682396410)
  (1.22776526995365808E-004,-2.47795303243040441E-005) (-5.61182820823055381E-004,-1.76651288115055793E-003) (-2.12518187452977311E-003,-2.00124788956559897E-003)       (0.20184917362418225,-4.99076518732715323E-003)       (4.52464406279107917E-002,-0.10927364465933440)   (2.50342574460123049E-004,7.11423162514765515E-004)  (1.35567639095496139E-002,-6.01992627056486401E-003)  (1.62452943196676816E-002,-1.71076815139665390E-002)             (0.18280856208974672,0.88553201682396410)            (-11.063278345538979,-0.15000000000000002)
