             (18.217070918608176,-0.15000000000000002)            (0.14237260968836518,-0.72988325595063652)   (1.70284799556076859E-002,1.77173812066988394E-002)   (1.37286356900492741E-002,6.29790212202125006E-003)  (2.20470400642547060E-004,-6.66105932063001710E-004)        (4.51516269574120943E-002,0.10927855724716345)        (0.20161178531712121,4.97328169482444838E-003)  (-2.03652727706004656E-003,1.96611133847443900E-003)  (-5.54339663823709915E-004,1.78696249686138234E-003)   (1.27787233209647043E-004,3.39660362942290287E-005)
             (0.14237260968836532,0.72988325595063652)             (8.3934709186081733,-0.15000000000000002)            (0.14237260968836518,-0.72988325595063652)   (1.70284799556076859E-002,1.77173812066988394E-002)   (1.37286356900492741E-002,6.29790212202125006E-003)       (-0.18277920244857929,8.14921536486101633E-002)        (4.51516269574120943E-002,0.10927855724716345)        (0.20161178531712121,4.97328169482444838E-003)  (-2.03652727706004656E-003,1.96611133847443900E-003)  (-5.54339663823709915E-004,1.78696249686138234E-003)
  (1.70284799556077830E-002,-1.77173812066988880E-002)             (0.14237260968836532,0.72988325595063652)       (-1.4301290813918270,-3.38684843722763878E-017)            (0.14237260968836518,-0.72988325595063652)   (1.70284799556076859E-002,1.77173812066988394E-002)   (2.11143359800523367E-003,1.80827621391905949E-003)       (-0.18277920244857929,8.14921536486101633E-002)        (4.51516269574120943E-002,0.10927855724716345)        (0.20161178531712121,4.97328169482444838E-003)  (-2.03652727706004656E-003,1.96611133847443900E-003)
  (1.37286356900496054E-002,-6.29790212202126221E-003)  (1.70284799556077830E-002,-1.77173812066988880E-002)             (0.14237260968836532,0.72988325595063652)            (-11.253729081391828,-0.15000000000000002)            (0.14237260968836518,-0.72988325595063652)   (7.78274051121177193E-004,1.72433126116496201E-003)   (2.11143359800523367E-003,1.80827621391905949E-003)       (-0.18277920244857929,8.14921536486101633E-002)        (4.51516269574120943E-002,0.10927855724716345)        (0.20161178531712121,4.97328169482444838E-003)
   (2.20470400642488052E-004,6.66105932062978183E-004)  (1.37286356900496054E-002,-6.29790212202126221E-003)  (1.70284799556077830E-002,-1.77173812066988880E-002)             (0.14237260968836532,0.72988325595063652)            (-21.077329081391827,-0.15000000000000002)  (-1.04022823679444747E-004,5.85614443242744192E-005)   (7.78274051121177193E-004,1.72433126116496201E-003)   (2.11143359800523367E-003,1.80827621391905949E-003)       (-0.18277920244857929,8.14921536486101633E-002)        (4.51516269574120943E-002,0.10927855724716345)
       (4.51516269574120943E-002,-0.10927855724716345)      (-0.18277920244857926,-8.14921536486101772E-002)  (2.11143359800522804E-003,-1.80827621391904301E-003)  (7.78274051121144775E-004,-1.72433126116491712E-003) (-1.04022823679432211E-004,-5.85614443242832690E-005)             (28.231135727330624,-0.15000000000000002)            (0.18266105042764624,-0.88566033316215309)   (1.62598590019494525E-002,1.70277396133906543E-002)   (1.35579326863944864E-002,5.98866544710858172E-003)  (2.36346938370256136E-004,-6.99613866307544226E-004)
       (0.20161178531712121,-4.97328169482447961E-003)       (4.51516269574120943E-002,-0.10927855724716345)      (-0.18277920244857926,-8.14921536486101772E-002)  (2.11143359800522804E-003,-1.80827621391904301E-003)  (7.78274051121144775E-004,-1.72433126116491712E-003)             (0.18266105042764641,0.88566033316215309)             (18.407535727330622,-0.15000000000000002)            (0.18266105042764624,-0.88566033316215309)   (1.62598590019494525E-002,1.70277396133906543E-002)   (1.35579326863944864E-002,5.98866544710858172E-003)
 (-2.03652727706005263E-003,-1.96611133847445375E-003)       (0.20161178531712121,-4.97328169482447961E-003)       (4.51516269574120943E-002,-0.10927855724716345)      (-0.18277920244857926,-8.14921536486101772E-002)  (2.11143359800522804E-003,-1.80827621391904301E-003)  (1.62598590019495844E-002,-1.70277396133907133E-002)             (0.18266105042764641,0.88566033316215309)        (8.5839357273306227,-1.94366583599468584E-017)            (0.18266105042764624,-0.88566033316215309)   (1.62598590019494525E-002,1.70277396133906543E-002)
 (-5.54339663823740923E-004,-1.78696249686144740E-003) (-2.03652727706005263E-003,-1.96611133847445375E-003)       (0.20161178531712121,-4.97328169482447961E-003)       (4.51516269574120943E-002,-0.10927855724716345)      (-0.18277920244857926,-8.14921536486101772E-002)  (1.35579326863948350E-002,-5.98866544710866412E-003)  (1.62598590019495844E-002,-1.70277396133907133E-002)             (0.18266105042764641,0.88566033316215309)            (-1.2396642726693776,-0.15000000000000002)            (0.18266105042764624,-0.88566033316215309)
  (1.27787233209647775E-004,-3.39660362942216561E-005) (-5.54339663823740923E-004,-1.78696249686144740E-003) (-2.03652727706005263E-003,-1.96611133847445375E-003)       (0.20161178531712121,-4.97328169482447961E-003)       (4.51516269574120943E-002,-0.10927855724716345)   (2.36346938370220736E-004,6.99613866307567862E-004)  (1.35579326863948350E-002,-5.98866544710866412E-003)  (1.62598590019495844E-002,-1.70277396133907133E-002)             (0.18266105042764641,0.88566033316215309)            (-11.063264272669379,-0.15000000000000002)
