             (18.350296418726128,-0.15000000000000002)       (-0.52948069867244463,5.23296667446403671E-002)  (8.75013174473116516E-004,-2.76641493473353409E-003) (-4.71624847148224098E-004,-2.11928999819313828E-004)  (-1.05024032352574730E-005,1.35397614510927683E-005)  (1.91161588562849642E-002,-4.55939210012017912E-002)       (-1.41725813679733862E-002,0.14463133016648763) (-2.86061414636846014E-004,-3.51304183169301513E-005)  (-3.47542545744769634E-005,7.05242859519479023E-005)  (-3.06192144594625453E-007,3.15181109247468451E-007)
      (-0.52948069867244474,-5.23296667446403740E-002)             (8.5266964187261269,-0.15000000000000002)       (-0.52948069867244463,5.23296667446403671E-002)  (8.75013174473116516E-004,-2.76641493473353409E-003) (-4.71624847148224098E-004,-2.11928999819313828E-004)       (-4.30516526682789905E-002,0.13873490933223215)  (1.91161588562849642E-002,-4.55939210012017912E-002)       (-1.41725813679733862E-002,0.14463133016648763) (-2.86061414636846014E-004,-3.51304183169301513E-005)  (-3.47542545744769634E-005,7.05242859519479023E-005)
   (8.75013174473163679E-004,2.76641493473355794E-003)      (-0.52948069867244474,-5.23296667446403740E-002)       (-1.2969035812738741,-2.55766669205019718E-017)       (-0.52948069867244463,5.23296667446403671E-002)  (8.75013174473116516E-004,-2.76641493473353409E-003)  (2.77593830820315076E-004,-6.82728897413191135E-005)       (-4.30516526682789905E-002,0.13873490933223215)  (1.91161588562849642E-002,-4.55939210012017912E-002)       (-1.41725813679733862E-002,0.14463133016648763) (-2.86061414636846014E-004,-3.51304183169301513E-005)
  (-4.71624847148253642E-004,2.11928999819431844E-004)   (8.75013174473163679E-004,2.76641493473355794E-003)      (-0.52948069867244474,-5.23296667446403740E-002)            (-11.120503581273875,-0.15000000000000002)       (-0.52948069867244463,5.23296667446403671E-002)   (2.50833692342926806E-005,7.99151091867284619E-005)  (2.77593830820315076E-004,-6.82728897413191135E-005)       (-4.30516526682789905E-002,0.13873490933223215)  (1.91161588562849642E-002,-4.55939210012017912E-002)       (-1.41725813679733862E-002,0.14463133016648763)
 (-1.05024032352220704E-005,-1.35397614509393554E-005)  (-4.71624847148253642E-004,2.11928999819431844E-004)   (8.75013174473163679E-004,2.76641493473355794E-003)      (-0.52948069867244474,-5.23296667446403740E-002)            (-20.944103581273875,-0.15000000000000002)  (-1.53264753296998592E-006,1.48942008226077168E-006)   (2.50833692342926806E-005,7.99151091867284619E-005)  (2.77593830820315076E-004,-6.82728897413191135E-005)       (-4.30516526682789905E-002,0.13873490933223215)  (1.91161588562849642E-002,-4.55939210012017912E-002)
   (1.91161588562849642E-002,4.55939210012017912E-002)      (-4.30516526682789766E-002,-0.13873490933223212)   (2.77593830820300330E-004,6.82728897413065774E-005)  (2.50833692342867785E-005,-7.99151091867011671E-005) (-1.53264753301276468E-006,-1.48942008226372189E-006)             (28.218584335973006,-0.15000000000000002)       (-0.64593777716826017,6.45741597800041089E-002)  (8.19858765790139874E-004,-2.53778642381007362E-003) (-4.93287000168059707E-004,-2.26010434838722388E-004)  (-1.23149740276602526E-005,1.32746403588949894E-005)
      (-1.41725813679733775E-002,-0.14463133016648766)   (1.91161588562849642E-002,4.55939210012017912E-002)      (-4.30516526682789766E-002,-0.13873490933223212)   (2.77593830820300330E-004,6.82728897413065774E-005)  (2.50833692342867785E-005,-7.99151091867011671E-005)      (-0.64593777716826029,-6.45741597800041645E-002)             (18.394984335973003,-0.15000000000000002)       (-0.64593777716826017,6.45741597800041089E-002)  (8.19858765790139874E-004,-2.53778642381007362E-003) (-4.93287000168059707E-004,-2.26010434838722388E-004)
  (-2.86061414636846014E-004,3.51304183169514491E-005)      (-1.41725813679733775E-002,-0.14463133016648766)   (1.91161588562849642E-002,4.55939210012017912E-002)      (-4.30516526682789766E-002,-0.13873490933223212)   (2.77593830820300330E-004,6.82728897413065774E-005)   (8.19858765790216636E-004,2.53778642381012089E-003)      (-0.64593777716826029,-6.45741597800041645E-002)        (8.5713843359730024,-2.20442832294455897E-017)       (-0.64593777716826017,6.45741597800041089E-002)  (8.19858765790139874E-004,-2.53778642381007362E-003)
 (-3.47542545745005652E-005,-7.05242859519700335E-005)  (-2.86061414636846014E-004,3.51304183169514491E-005)      (-1.41725813679733775E-002,-0.14463133016648766)   (1.91161588562849642E-002,4.55939210012017912E-002)      (-4.30516526682789766E-002,-0.13873490933223212)  (-4.93287000168148178E-004,2.26010434838828586E-004)   (8.19858765790216636E-004,2.53778642381012089E-003)      (-0.64593777716826029,-6.45741597800041645E-002)            (-1.2522156640269975,-0.15000000000000002)       (-0.64593777716826017,6.45741597800041089E-002)
 (-3.06192144635929162E-007,-3.15181109232717161E-007) (-3.47542545745005652E-005,-7.05242859519700335E-005)  (-2.86061414636846014E-004,3.51304183169514491E-005)      (-1.41725813679733775E-002,-0.14463133016648766)   (1.91161588562849642E-002,4.55939210012017912E-002) (-1.23149740276012466E-005,-1.32746403587120726E-005)  (-4.93287000168148178E-004,2.26010434838828586E-004)   (8.19858765790216636E-004,2.53778642381012089E-003)      (-0.64593777716826029,-6.45741597800041645E-002)            (-11.075815664026997,-0.15000000000000002)
